"age" "workclass" "education_num" "marital_status" "occupation" "race" "sex" "hours_per_week" "income"
50 " Self-Employed" 13 " Married" " White-Collar" " White" " Male" 13 53.8
38 " Private" 9 " Divorced" " Blue-Collar" " White" " Male" 40 51.67
53 " Private" 7 " Married" " Blue-Collar" " Black" " Male" 40 50.08
28 " Private" 13 " Married" " Professional" " Black" " Female" 40 44.21
37 " Private" 14 " Married" " White-Collar" " White" " Female" 40 48.91
49 " Private" 5 " Married" " Service" " Black" " Female" 16 43.93
52 " Self-Employed" 9 " Married" " White-Collar" " White" " Male" 45 55.62
31 " Private" 14 " Single" " Professional" " White" " Female" 50 38.24
42 " Private" 13 " Married" " White-Collar" " White" " Male" 40 57.12
37 " Private" 10 " Married" " White-Collar" " Black" " Male" 80 49.72
30 " Government" 13 " Married" " Professional" " Asian-Pac-Islander" " Male" 40 51.08
23 " Private" 13 " Single" " White-Collar" " White" " Female" 30 44.34
32 " Private" 12 " Single" " Sales" " Black" " Male" 50 41.98
40 " Private" 11 " Married" " Blue-Collar" " Asian-Pac-Islander" " Male" 40 46.53
34 " Private" 4 " Married" " Blue-Collar" " Amer-Indian-Eskimo" " Male" 45 42.5
25 " Self-Employed" 9 " Single" " Blue-Collar" " White" " Male" 35 51.16
32 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 51.95
38 " Private" 7 " Married" " Sales" " White" " Male" 50 47.88
43 " Self-Employed" 14 " Divorced" " White-Collar" " White" " Female" 45 44.38
40 " Private" 16 " Married" " Professional" " White" " Male" 60 55.01
54 " Private" 9 " Separated" " Service" " Black" " Female" 20 35.87
35 " Government" 5 " Married" " Blue-Collar" " Black" " Male" 40 49.36
43 " Private" 7 " Married" " Blue-Collar" " White" " Male" 40 52.61
59 " Private" 9 " Divorced" " Service" " White" " Female" 40 38.3
56 " Government" 13 " Married" " Service" " White" " Male" 40 56.66
19 " Private" 9 " Single" " Blue-Collar" " White" " Male" 40 47.19
54 " Other/Unknown" 10 " Married" " Other/Unknown" " Asian-Pac-Islander" " Male" 60 42.7
39 " Private" 9 " Divorced" " White-Collar" " White" " Male" 80 55.67
49 " Private" 9 " Married" " Blue-Collar" " White" " Male" 40 53.18
23 " Government" 12 " Single" " Service" " White" " Male" 52 55.48
20 " Private" 10 " Single" " Sales" " Black" " Male" 44 40.87
45 " Private" 13 " Divorced" " White-Collar" " White" " Male" 40 54.99
30 " Government" 10 " Married" " White-Collar" " White" " Male" 40 62.99
22 " Government" 10 " Married" " Service" " Black" " Male" 15 48.97
48 " Private" 7 " Single" " Blue-Collar" " White" " Male" 40 52.45
21 " Private" 10 " Single" " Blue-Collar" " White" " Male" 40 52.31
19 " Private" 9 " Married" " White-Collar" " White" " Female" 25 47.22
31 " Private" 10 " Married" " Sales" " White" " Male" 38 52.05
48 " Self-Employed" 12 " Married" " Professional" " White" " Male" 40 50.75
31 " Private" 5 " Married" " Blue-Collar" " White" " Male" 43 53.01
53 " Self-Employed" 13 " Married" " Professional" " White" " Male" 40 50.43
24 " Private" 13 " Married" " Service" " White" " Male" 50 52.83
49 " Private" 9 " Separated" " White-Collar" " White" " Female" 40 40.93
25 " Private" 9 " Single" " Blue-Collar" " White" " Male" 35 54.93
57 " Government" 13 " Married" " Professional" " Black" " Male" 40 53.36
53 " Private" 9 " Married" " Blue-Collar" " White" " Male" 38 53.27
44 " Private" 14 " Divorced" " White-Collar" " White" " Female" 40 45.05
41 " Government" 11 " Married" " Blue-Collar" " White" " Male" 40 58.91
29 " Private" 11 " Single" " Professional" " White" " Male" 43 51.13
